City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,Avarua,-21.2078,-159.775,84.25,84,75,10.36,CK,2022-05-13 00:42:33
180,Mount Gambier,-37.8333,140.7667,61.38,75,100,4.25,AU,2022-05-13 00:42:34
181,Panzhihua,26.5851,101.7128,72.9,73,65,1.16,CN,2022-05-13 00:39:09
182,Champerico,14.3,-91.9167,86.54,68,9,5.5,GT,2022-05-13 00:43:35
183,Nemuro,43.3236,145.575,48.11,96,100,13.58,JP,2022-05-13 00:43:35
184,Bujanovac,42.4592,21.7667,54.52,78,42,0.65,RS,2022-05-13 00:43:36
185,Sapa,5.1544,120.3241,83.14,77,100,4.03,PH,2022-05-13 00:43:37
186,Vanavara,60.34,102.2797,51.69,63,100,4.81,RU,2022-05-13 00:43:38
187,North Bend,43.4065,-124.2243,54.25,98,100,9.22,US,2022-05-13 00:38:59
188,Khani,41.9563,42.9566,35.17,78,1,5.19,GE,2022-05-13 00:43:39
189,Santa Maria Da Vitoria,-13.3947,-44.1886,70.68,38,1,1.52,BR,2022-05-13 00:43:40
190,Warrington,53.3925,-2.5802,54.86,75,40,13.8,GB,2022-05-13 00:43:41
191,Pangai,-19.8,-174.35,78.91,47,75,6.91,TO,2022-05-13 00:43:42
192,Borogontsy,62.6683,131.1683,50.54,50,100,3.4,RU,2022-05-13 00:43:43
193,High Level,58.5169,-117.136,62.71,34,75,11.5,CA,2022-05-13 00:40:14
194,Sitka,57.0531,-135.33,53.49,58,40,3.44,US,2022-05-13 00:43:43
195,Nizhneangarsk,55.7833,109.55,42.6,71,100,2.89,RU,2022-05-13 00:43:44
196,Kedrovyy,56.1667,91.8167,43.21,36,8,3.62,RU,2022-05-13 00:43:45
197,Ribeira Brava,32.65,-17.0667,65.71,82,98,2.01,PT,2022-05-13 00:43:46
198,Maniitsoq,65.4167,-52.9,27.61,68,23,24.85,GL,2022-05-13 00:43:47
199,Biak,-0.9131,122.8766,80.82,80,100,1.5,ID,2022-05-13 00:43:48
200,Junction City,39.0286,-96.8314,91.26,27,0,19.57,US,2022-05-13 00:41:35
201,San Quintin,30.4833,-115.95,65.53,53,93,14.38,MX,2022-05-13 00:43:49
202,Ende,-8.8432,121.6623,83.57,75,99,2.39,ID,2022-05-13 00:43:49
203,Hastings,50.8552,0.5729,54.28,86,100,13.76,GB,2022-05-13 00:43:50
204,Libreville,0.3925,9.4537,78.91,87,59,7.25,GA,2022-05-13 00:43:51
205,Mecca,21.4267,39.8261,85.23,26,0,3.36,SA,2022-05-13 00:43:52
206,Hermagor,46.6272,13.3672,57.69,96,97,1.97,AT,2022-05-13 00:43:53
207,Chapais,49.7834,-74.8492,53.38,94,100,10.56,CA,2022-05-13 00:43:54
208,Blagoveshchenka,52.8333,79.8667,60.06,29,41,0.4,RU,2022-05-13 00:43:55
209,Brekstad,63.687,9.6654,46.0,76,75,8.05,NO,2022-05-13 00:43:56
210,Guerrero Negro,27.9769,-114.0611,68.56,50,14,19.64,MX,2022-05-13 00:42:59
211,Narsaq,60.9167,-46.05,41.22,88,100,1.1,GL,2022-05-13 00:42:12
212,Klaksvik,62.2266,-6.589,41.92,75,99,33.96,FO,2022-05-13 00:43:57
213,Am Timan,11.0297,20.2827,85.69,49,98,12.57,TD,2022-05-13 00:43:57
214,Pestravka,52.405,49.9583,40.87,88,100,7.27,RU,2022-05-13 00:43:58
215,Yeppoon,-23.1333,150.7333,73.18,87,100,6.82,AU,2022-05-13 00:42:53
216,Hofn,64.2539,-15.2082,38.59,60,100,18.01,IS,2022-05-13 00:43:51
217,Bud,39.447,-86.1758,84.15,49,3,6.51,US,2022-05-13 00:44:00
218,Basco,20.4487,121.9702,83.8,75,100,13.69,PH,2022-05-13 00:43:36
219,Ballina,-28.8667,153.5667,71.78,87,99,17.65,AU,2022-05-13 00:44:00
220,Ancud,-41.8697,-73.8203,48.06,73,36,13.29,CL,2022-05-13 00:44:01
221,East London,-33.0153,27.9116,62.06,80,0,12.66,ZA,2022-05-13 00:44:02
222,Cairns,-16.9167,145.7667,85.06,78,0,5.75,AU,2022-05-13 00:44:03
223,Vila Velha,-20.3297,-40.2925,76.95,83,40,10.36,BR,2022-05-13 00:44:04
224,Bourg-En-Bresse,46.1667,5.1667,64.22,83,100,2.01,FR,2022-05-13 00:44:04
225,Samarai,-10.6167,150.6667,85.53,69,93,11.3,PG,2022-05-13 00:44:05
226,Lumding,25.7535,93.1732,75.65,95,91,4.09,IN,2022-05-13 00:45:05
227,Karratha,-20.7377,116.8463,82.54,74,51,21.45,AU,2022-05-13 00:45:00
228,Duluth,46.7833,-92.1066,67.06,87,100,21.85,US,2022-05-13 00:43:41
229,Komsomolskiy,40.4272,71.7189,63.32,63,51,6.91,UZ,2022-05-13 00:45:06
230,Ucluelet,48.9329,-125.5528,51.1,75,83,5.01,CA,2022-05-13 00:40:30
231,Rocha,-34.4833,-54.3333,47.1,84,9,1.39,UY,2022-05-13 00:42:27
232,Velikooktyabrskiy,57.4333,33.8159,44.02,87,100,13.67,RU,2022-05-13 00:45:08
233,Guangyuan,32.442,105.823,60.12,73,100,7.0,CN,2022-05-13 00:45:08
234,Lebu,-37.6167,-73.65,51.64,90,3,5.88,CL,2022-05-13 00:45:11
235,Nikolskoye,59.7035,30.7861,46.8,88,100,12.06,RU,2022-05-13 00:45:13
236,Isangel,-19.55,169.2667,80.71,61,75,9.22,VU,2022-05-13 00:45:14
237,Kariba,-16.5167,28.8,67.48,61,14,3.83,ZW,2022-05-13 00:45:14
238,Colares,38.7992,-9.4469,68.99,44,6,9.98,PT,2022-05-13 00:45:15
239,Grand Gaube,-20.0064,57.6608,72.37,82,14,3.0,MU,2022-05-13 00:45:16
240,Kruisfontein,-34.0033,24.7314,52.88,83,8,7.47,ZA,2022-05-13 00:45:18
241,Dalvik,65.9702,-18.5286,31.93,94,100,15.35,IS,2022-05-13 00:45:19
242,Sajanan,37.0573,9.2426,68.92,59,5,7.65,TN,2022-05-13 00:45:19
243,Acarau,-2.8856,-40.12,77.38,89,24,11.23,BR,2022-05-13 00:45:20
244,Shellbrook,53.2168,-106.4011,70.83,49,100,7.94,CA,2022-05-13 00:43:20
245,Torva,58.0028,25.935,47.95,83,11,11.1,EE,2022-05-13 00:45:21
246,Lahaina,20.8783,-156.6825,87.04,76,93,10.31,US,2022-05-13 00:45:21
247,Paamiut,61.994,-49.6678,33.73,100,100,10.92,GL,2022-05-13 00:45:22
248,Dunedin,-45.8742,170.5036,56.98,51,100,0.49,NZ,2022-05-13 00:45:22
249,Klaebu,63.2976,10.4826,39.43,84,98,5.21,NO,2022-05-13 00:45:23
250,Gibraltar,36.1447,-5.3526,62.22,86,29,6.53,GI,2022-05-13 00:45:24
