City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
206,Bereda,ES,57.42,overcast clouds,43.2686,-7.5406,Pazo de Verdes
207,Mount Gambier,AU,55.31,scattered clouds,-37.8333,140.7667,The Commodore
208,Kijang,KR,74.93,clear sky,35.2442,129.2139,Samyang Beach Villa
210,Girua,BR,45.09,overcast clouds,-28.0283,-54.3497,Colinas Hotel
211,Muzhi,RU,36.41,scattered clouds,65.3667,64.6667,Gostinitsa
212,Bairnsdale,AU,60.06,clear sky,-37.8333,147.6167,Town Central Motel
214,Longyearbyen,SJ,28.24,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
215,Siavonga,ZM,64.18,clear sky,-16.5382,28.7088,Lavongora Waterfront Lodge
216,Betioky,MG,62.83,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
217,Alice Springs,AU,69.22,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
218,Rakiv Lis,UA,35.31,clear sky,51.6217,24.9243,Turiya Hotelʹ
220,Tomatlan,MX,73.85,clear sky,19.9333,-105.25,El Salvial
222,Angoche,MZ,68.72,few clouds,-16.2325,39.9086,Guest House HESADA
223,Ancud,CL,45.18,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
226,San Jeronimo,PE,50.52,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
230,Los Llanos De Aridane,ES,67.75,broken clouds,28.6585,-17.9182,Valle Aridane
231,Havelock,US,72.95,clear sky,34.8791,-76.9013,Sherwood Motel
232,San Quintin,MX,60.22,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
233,Santa Maria Del Oro,MX,67.37,overcast clouds,25.9333,-105.3667,Hotel Palacio Del Sol
234,Jumla,NP,61.05,clear sky,29.2747,82.1838,Royal Garden Hotel
236,Tasiilaq,GL,33.96,overcast clouds,65.6145,-37.6368,The Red House
237,Linxia,CN,61.83,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
238,Souillac,MU,73.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
240,Saint Anthony,US,65.82,light rain,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
241,Komsomolskiy,UZ,72.32,overcast clouds,40.4272,71.7189,Ikathouse
244,Miles City,US,70.77,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
246,La Union,PE,70.07,overcast clouds,-5.4,-80.75,Los Portales
