City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Santiago Del Estero,AR,-27.7951,-64.2615,48.83,41,0,6.42,clear sky
194,Ixtapa,MX,20.7,-105.2,78.03,73,20,9.22,few clouds
195,Dekernes,EG,31.0876,31.595,63.27,78,0,2.59,clear sky
196,Asilah,MA,35.465,-6.0348,69.76,66,7,5.5,clear sky
197,Inuvik,CA,68.3499,-133.7218,32.86,89,100,10.36,light shower snow
198,Uitenhage,ZA,-33.7576,25.3971,65.62,40,0,9.93,clear sky
199,Bindura,ZW,-17.3019,31.3306,59.25,62,96,1.12,overcast clouds
200,Capela,BR,-10.5033,-37.0528,71.76,98,14,4.56,few clouds
201,Bourail,NC,-21.5667,165.4833,82.35,54,53,2.37,broken clouds
202,Cao Bang,VN,22.6667,106.25,77.05,64,73,3.65,broken clouds
203,Paoua,CF,7.2427,16.4406,70.05,92,98,1.07,overcast clouds
204,Kavieng,PG,-2.5744,150.7967,85.35,68,6,6.4,clear sky
205,Kaitangata,NZ,-46.2817,169.8464,59.16,56,75,4.52,light rain
206,Bereda,ES,43.2686,-7.5406,57.42,100,100,0.85,overcast clouds
207,Mount Gambier,AU,-37.8333,140.7667,55.31,67,40,18.41,scattered clouds
208,Kijang,KR,35.2442,129.2139,74.93,42,2,13.29,clear sky
209,Cabo San Lucas,MX,22.8909,-109.9124,79.9,69,20,16.11,few clouds
210,Girua,BR,-28.0283,-54.3497,45.09,92,100,16.64,overcast clouds
211,Muzhi,RU,65.3667,64.6667,36.41,62,30,18.32,scattered clouds
212,Bairnsdale,AU,-37.8333,147.6167,60.06,49,8,4.0,clear sky
213,Kununurra,AU,-15.7667,128.7333,89.58,45,1,8.05,clear sky
214,Longyearbyen,SJ,78.2186,15.6401,28.24,74,20,5.75,few clouds
215,Siavonga,ZM,-16.5382,28.7088,64.18,70,1,5.97,clear sky
216,Betioky,MG,-23.7167,44.3833,62.83,66,0,9.35,clear sky
217,Alice Springs,AU,-23.7,133.8833,69.22,32,40,11.5,scattered clouds
218,Rakiv Lis,UA,51.6217,24.9243,35.31,85,6,9.48,clear sky
219,Pangnirtung,CA,66.1451,-65.7125,18.45,85,28,7.87,scattered clouds
220,Tomatlan,MX,19.9333,-105.25,73.85,68,4,4.0,clear sky
221,Taseyevo,RU,57.2169,94.8978,76.1,36,64,11.54,broken clouds
222,Angoche,MZ,-16.2325,39.9086,68.72,92,16,8.66,few clouds
223,Ancud,CL,-41.8697,-73.8203,45.18,70,100,8.32,overcast clouds
224,Puerto Colombia,CO,10.9878,-74.9547,77.09,82,99,0.94,overcast clouds
225,Gobabis,NA,-22.45,18.9667,53.02,58,9,10.31,clear sky
226,San Jeronimo,PE,-11.9472,-75.2829,50.52,84,100,2.17,overcast clouds
227,Dongzhen,CN,22.3797,110.9389,78.33,64,26,1.03,scattered clouds
228,Ouadda,CF,8.0777,22.4007,70.65,87,100,0.38,overcast clouds
229,Barrow,US,71.2906,-156.7887,15.82,73,100,9.22,light snow
230,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,95,75,6.91,broken clouds
231,Havelock,US,34.8791,-76.9013,72.95,77,0,3.44,clear sky
232,San Quintin,MX,30.4833,-115.95,60.22,78,11,14.2,few clouds
233,Santa Maria Del Oro,MX,25.9333,-105.3667,67.37,55,100,11.07,overcast clouds
234,Jumla,NP,29.2747,82.1838,61.05,48,3,0.85,clear sky
235,Bubaque,GW,11.2833,-15.8333,79.36,88,93,16.62,overcast clouds
236,Tasiilaq,GL,65.6145,-37.6368,33.96,98,99,3.38,overcast clouds
237,Linxia,CN,35.6003,103.2064,61.83,46,100,4.36,overcast clouds
238,Souillac,MU,-20.5167,57.5167,73.78,64,75,11.5,broken clouds
239,Soyo,AO,-6.1349,12.3689,77.02,90,24,7.54,few clouds
